signal,horizon,mean_ic,ic_std,t_stat,information_ratio,n_observations,p_value,p_value_bonferroni,p_value_bh,verdict
fundamentals,5,0.02072829131652662,0.40831090878202525,0.4680389360316013,0.05076595033514599,85,0.6397567459820159,1.0,0.6773658499405852,inconclusive
fundamentals,20,0.052154195011337875,0.43226046931283146,1.1058172718355925,0.12065455602324193,84,0.2688056176678864,1.0,0.4480093627798107,inconclusive
insider,5,0.05254782086749842,0.35033797250694343,1.3828560094557345,0.1499917936142562,85,0.16670902112110603,1.0,0.4140854388532606,inconclusive
insider,20,0.040079588723437906,0.3882919889205722,0.9460290420023227,0.10322023082386193,84,0.3441337735992997,1.0,0.49161967657042815,inconclusive
institutional,5,0.0162833150784958,0.3011351346736132,0.4926295320262201,0.05407311603192551,83,0.6222743772861697,1.0,0.6773658499405852,inconclusive
institutional,20,-0.012564671101256461,0.27346498801975644,-0.41606034022784144,-0.0459461783105804,82,0.6773658499405852,1.0,0.6773658499405852,inconclusive
sector_momentum,5,-0.09859546098338785,0.36221958632164386,-2.5095419191839388,-0.27219803872184045,85,0.012088786648567018,0.12088786648567018,0.06044393324283509,inconclusive
sector_momentum,20,-0.07070578231292518,0.40269362127953207,-1.6092363146479187,-0.17558207673680623,84,0.10756467860746614,1.0,0.3585489286915538,inconclusive
abnormal_volume,5,0.10799660212130738,0.3720692372692761,2.6284108651284663,0.2902594229878442,82,0.008578483388456293,0.08578483388456293,0.06044393324283509,inconclusive
abnormal_volume,20,0.0509082192033985,0.3631289623528957,1.261738997247276,0.140193221916364,81,0.20704271942663033,1.0,0.4140854388532606,inconclusive
