effective_date,added_ticker,removed_ticker,as_of_source
2020-12-21,TSLA,OXY,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20201211-1277389/1277389_tes15aircaivspindnkn4.pdf
2021-03-22,AVGO,ALL,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20210312-1336360/1336360_march2021-5146-shuf-pr.pdf
2021-03-22,TMUS,KMI,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20210312-1336360/1336360_march2021-5146-shuf-pr.pdf
2021-03-22,LIN,SLB,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20210312-1336360/1336360_march2021-5146-shuf-pr.pdf
2022-06-09,META,FB,https://investor.fb.com/investor-news/press-release-details/2022/Meta-Platforms-Ticker-Symbol-to-Change-to-META-on-June-9/default.aspx
2025-03-24,PLTR,DOW,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf
2025-03-24,ISRG,KHC,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf
2025-03-24,NOW,F,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250307-1477251/1477251_march2025rebalance1500.pdf
2025-09-22,UBER,CHTR,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20250905-1479730/1479730_sept2025-1500rebalance.pdf
2026-03-23,MU,PYPL,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20260306-1482263/1482263_march2026rebalance1546.pdf
2026-03-23,LRCX,AIG,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20260306-1482263/1482263_march2026rebalance1546.pdf
2026-03-23,AMAT,MET,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20260306-1482263/1482263_march2026rebalance1546.pdf
2026-03-23,GEV,TGT,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20260306-1482263/1482263_march2026rebalance1546.pdf
